2022-11-01 21:15:06 status half-installed usrmerge:all 25ubuntu2
2022-11-01 21:15:06 status unpacked usrmerge:all 25ubuntu2
2022-11-01 21:15:06 install util-linux:amd64 <none> 2.37.2-4ubuntu3
2022-11-01 21:15:06 status half-installed util-linux:amd64 2.37.2-4ubuntu3
2022-11-01 21:15:06 status unpacked util-linux:amd64 2.37.2-4ubuntu3
2022-11-01 21:15:06 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu9
2022-11-01 21:15:06 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2022-11-01 21:15:06 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2022-11-01 21:15:06 startup packages configure
2022-11-01 21:15:06 configure lsb-base:all 11.1.0ubuntu4 <none>
2022-11-01 21:15:06 status unpacked lsb-base:all 11.1.0ubuntu4
2022-11-01 21:15:06 status half-configured lsb-base:all 11.1.0ubuntu4
2022-11-01 21:15:06 status installed lsb-base:all 11.1.0ubuntu4
2022-11-01 21:15:06 configure libtirpc-common:all 1.3.2-2build1 <none>
2022-11-01 21:15:06 status unpacked libtirpc-common:all 1.3.2-2build1
2022-11-01 21:15:06 status half-configured libtirpc-common:all 1.3.2-2build1
2022-11-01 21:15:06 status installed libtirpc-common:all 1.3.2-2build1
2022-11-01 21:15:06 configure libaudit-common:all 1:3.0.7-1build1 <none>
2022-11-01 21:15:06 status unpacked libaudit-common:all 1:3.0.7-1build1
2022-11-01 21:15:06 status half-configured libaudit-common:all 1:3.0.7-1build1
2022-11-01 21:15:06 status installed libaudit-common:all 1:3.0.7-1build1
2022-11-01 21:15:06 configure libsemanage-common:all 3.3-1build2 <none>
2022-11-01 21:15:06 status unpacked libsemanage-common:all 3.3-1build2
2022-11-01 21:15:06 status half-configured libsemanage-common:all 3.3-1build2
2022-11-01 21:15:06 status installed libsemanage-common:all 3.3-1build2
2022-11-01 21:15:06 configure gcc-12-base:amd64 12-20220319-1ubuntu1 <none>
2022-11-01 21:15:06 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2022-11-01 21:15:06 status half-configured gcc-12-base:amd64 12-20220319-1ubuntu1
2022-11-01 21:15:06 status installed gcc-12-base:amd64 12-20220319-1ubuntu1
2022-11-01 21:15:06 configure ncurses-base:all 6.3-2 <none>
2022-11-01 21:15:06 status unpacked ncurses-base:all 6.3-2
2022-11-01 21:15:06 status half-configured ncurses-base:all 6.3-2
2022-11-01 21:15:06 status installed ncurses-base:all 6.3-2
2022-11-01 21:15:06 configure sensible-utils:all 0.0.17 <none>
2022-11-01 21:15:06 status unpacked sensible-utils:all 0.0.17
